日期,臺南市,區別,里別,"調查種類","調查戶數","陽性戶數",調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
2021/9/10,臺南市,南　區,建南里,住宅,80,0,0,10,10,0,0,0,0,0,0,0,120.1964522,22.9572284
2021/9/9,臺南市,南　區,省躬里,住宅,80,5,1,13,14,1,4,5,6,2,36,8,120.1863512,22.9338276
2021/9/9,臺南市,南　區,郡南里,住宅,80,0,0,5,5,0,0,0,0,0,0,0,120.1950093,22.964243
2021/9/11,臺南市,南　區,國宅里,住宅,120,0,0,17,17,0,0,0,0,0,0,0,120.1870727,22.9759721
2021/9/9,臺南市,南　區,喜北里,住宅,80,3,0,16,16,0,3,3,4,1,19,5,120.1776926,22.9490628
2021/9/6,臺南市,南　區,喜東里,住宅,80,3,0,33,33,0,3,3,4,1,9,3,120.1906803,22.9423225
2021/9/6,臺南市,南　區,開南里,住宅,80,4,0,25,25,0,4,4,5,2,16,5,120.1856297,22.9668748
2021/9/10,臺南市,南　區,新昌里,住宅,80,2,0,17,17,0,2,2,3,1,12,4,120.1957308,22.9835601
2021/9/11,臺南市,南　區,廣州里,住宅,120,0,0,9,9,0,0,0,0,0,0,0,120.1928448,22.9841637
2021/9/10,臺南市,南　區,興農里,住宅,80,1,0,8,8,0,1,1,1,1,13,4,120.1921233,22.9299372
2021/9/10,臺南市,南　區,鯤鯓里,住宅,80,2,1,24,25,0,2,2,3,1,8,3,120.1733631,22.9566809
2021/9/6,臺南市,北　區,大光里,學校,83,2,1,23,24,0,2,2,2,1,8,3,120.2164659,23.0121178
2021/9/8,臺南市,北　區,大和里,住宅,50,0,0,7,7,0,0,0,0,0,0,0,120.1914018,23.0153463
2021/9/10,臺南市,北　區,大和里,住宅,80,2,0,16,16,0,2,2,3,1,13,4,120.1914018,23.0153463
2021/9/7,臺南市,北　區,大興里,學校,80,0,1,11,12,0,0,0,0,0,0,0,120.1878641,23.0122966
2021/9/9,臺南市,北　區,小北里,住宅,80,3,1,11,12,1,2,3,4,1,25,6,120.2124298,23.0079508
2021/9/8,臺南市,北　區,中樓里,住宅,80,1,0,9,9,0,2,2,3,1,22,6,120.2159306,23.0034966
2021/9/10,臺南市,北　區,仁愛里,住宅,120,1,11,26,37,6,2,8,7,2,22,6,120.2202587,23.0025898
2021/9/6,臺南市,北　區,元美里,住宅,80,1,0,2,2,0,1,1,1,1,50,9,120.1992927,23.0132991
2021/9/8,臺南市,北　區,元寶里,住宅,80,2,0,14,14,0,2,2,3,1,14,4,120.224226,23.0114904
2021/9/7,臺南市,北　區,公園里,學校,80,2,4,14,18,2,1,3,4,1,17,5,120.2101595,23.0006781
2021/9/11,臺南市,北　區,公園里,住宅,80,1,0,5,5,0,1,1,1,1,20,5,120.2101595,23.0006781
2021/9/9,臺南市,北　區,文元里,住宅,80,0,0,3,3,0,0,0,0,0,0,0,120.1978952,23.0146579
2021/9/9,臺南市,北　區,文成里,住宅,80,3,1,15,16,1,2,3,4,1,19,5,120.1971737,23.0074248
