日期,臺南市,區別,里別,"調查種類","調查戶數","陽性戶數",調查容器戶內,調查容器戶外,調查容器合計,陽性容器戶內,陽性容器戶外,陽性容器合計,布氏指數,布氏級數,容器指數,容器級數,經度,緯度
2021/9/9,臺南市,永康區,勝利里,住宅,80,0,0,6,6,0,0,0,0,0,0,0,120.232521,23.004718
2021/9/6,臺南市,永康區,復華里,學校,80,0,3,14,17,0,0,0,0,0,0,0,120.2440609,23.0103511
2021/9/8,臺南市,永康區,復華里,住宅,80,1,0,13,13,0,1,1,1,1,8,3,120.2440609,23.0103511
2021/9/11,臺南市,永康區,復華里,住宅,80,2,0,10,10,0,2,2,3,1,20,5,120.2440609,23.0103511
2021/9/9,臺南市,永康區,復興里,住宅,80,1,1,13,14,1,0,1,1,1,7,3,120.2440609,22.9969297
2021/9/10,臺南市,永康區,新樹里,住宅,80,2,2,17,19,0,2,2,3,1,11,4,120.2757905,23.0278443
2021/9/8,臺南市,永康區,網寮里,住宅,80,1,1,9,10,1,0,1,1,1,10,4,120.2527152,23.0139035
2021/9/9,臺南市,永康區,蔦松里,住宅,80,1,0,14,14,0,1,1,1,1,7,3,120.2555998,23.0455063
2021/9/8,臺南市,永康區,龍埔里,住宅,80,1,0,11,11,0,1,1,1,1,9,3,120.261226,23.038486
2021/9/8,臺南市,永康區,龍潭里,住宅,80,3,0,30,30,0,3,3,4,1,10,4,120.2656955,23.0286236
2021/9/11,臺南市,永康區,?洲里,住宅,80,1,1,8,9,0,2,2,3,1,22,6,120.232521,23.0423005
2021/9/11,臺南市,永康區,?興里,住宅,80,1,0,15,15,0,1,1,1,1,7,3,120.2426185,23.0388385
2021/9/6,臺南市,新化區,羊林里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,120.3579632,23.0574867
2021/9/6,臺南市,新化區,羊林里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.3579632,23.0574867
2021/9/6,臺南市,新化區,??拔里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,120.35037,23.070273
2021/9/7,臺南市,新化區,??拔里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,120.35037,23.070273
2021/9/7,臺南市,楠西區,東勢里,住宅,50,0,0,8,8,0,0,0,0,0,0,0,120.4904831,23.1795018
2021/9/7,臺南市,楠西區,楠西里,住宅,100,0,0,7,7,0,0,0,0,0,0,0,120.4832844,23.1743367
2021/9/9,臺南市,南化區,西埔里,住宅,52,0,0,14,14,0,0,0,0,0,0,0,120.4530456,23.0293455
2021/9/6,臺南市,麻豆區,大埕里,住宅,51,2,0,8,8,0,2,2,4,1,25,6,120.2498305,23.1862879
2021/9/7,臺南市,麻豆區,中興里,住宅,55,2,14,9,23,0,2,2,4,1,9,3,120.2462245,23.1796679
2021/9/8,臺南市,麻豆區,埤頭里,住宅,55,3,2,13,15,0,3,3,5,2,20,5,120.2267506,23.1911574
2021/9/8,臺南市,麻豆區,麻口里,住宅,52,0,0,7,7,0,0,0,0,0,0,0,120.2195374,23.1779137
2021/9/6,臺南市,麻豆區,新興里,住宅,55,2,8,10,18,0,2,2,4,1,11,4,120.2772325,23.235511
2021/9/7,臺南市,麻豆區,興農里,住宅,51,1,2,13,15,0,1,1,2,1,7,3,120.2404548,23.176859
2021/9/8,臺南市,官田區,官田里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.3406679,23.1898853
2021/9/5,臺南市,官田區,南?里,住宅,57,0,0,3,3,0,0,0,0,0,0,0,120.3031871,23.2112355
2021/9/8,臺南市,大內區,大內里,住宅,50,0,0,3,3,0,0,0,0,0,0,0,120.3622866,23.1195988
2021/9/8,臺南市,大內區,內江里,住宅,50,0,0,1,1,0,0,0,0,0,0,0,120.3637277,23.1099075
2021/9/7,臺南市,大內區,頭社里,住宅,50,0,3,1,4,0,0,0,0,0,0,0,120.3839017,23.151224
2021/9/7,臺南市,大內區,環湖里,住宅,50,0,0,1,1,0,0,0,0,0,0,0,120.4300017,23.1736117
2021/9/9,臺南市,佳里區,民安里,住宅,55,0,0,2,2,0,0,0,0,0,0,0,120.1906803,23.1678819
2021/9/8,臺南市,佳里區,塭內里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,120.164887,23.122752
2021/9/6,臺南市,西港區,西港里,住宅,51,0,0,7,7,0,0,0,0,0,0,0,120.2065525,23.125611
2021/9/10,臺南市,西港區,西港里,住宅,53,0,0,5,5,0,0,0,0,0,0,0,120.2065525,23.125611
2021/9/9,臺南市,將軍區,平沙里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,120.0982956,23.2087876
2021/9/8,臺南市,將軍區,忠嘉里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.1582628,23.203056
2021/9/6,臺南市,將軍區,長榮里,住宅,50,0,0,4,4,0,0,0,0,0,0,0,120.161817,23.1900666
2021/9/11,臺南市,將軍區,鯤溟里,住宅,50,0,0,6,6,0,0,0,0,0,0,0,120.1112911,23.1885961
2021/9/10,臺南市,北門區,文山里,住宅,50,1,0,5,5,0,1,1,2,1,20,5,120.128812,23.241987
2021/9/11,臺南市,北門區,北門里,住宅,50,0,0,2,2,0,0,0,0,0,0,0,120.125729,23.2661521
2021/9/7,臺南市,北門區,錦湖里,住宅,60,0,0,14,14,0,0,0,0,0,0,0,120.1647036,23.2941931
2021/9/7,臺南市,北門區,錦湖里,住宅,60,0,0,5,5,0,0,0,0,0,0,0,120.1647036,23.2941931
2021/9/6,臺南市,學甲區,光華里,住宅,51,0,0,4,4,0,0,0,0,0,0,0,120.1560436,23.2664795
2021/9/7,臺南市,學甲區,新達里,住宅,55,1,0,14,14,0,1,1,2,1,7,3,120.2108809,23.2414846
2021/9/6,臺南市,學甲區,新榮里,住宅,51,0,0,11,11,0,0,0,0,0,0,0,120.1863512,23.2265232
2021/9/11,臺南市,學甲區,豐和里,住宅,51,1,0,7,7,0,1,1,2,1,14,4,120.1993381,23.2224424
2021/9/8,臺南市,新營區,王公里,住宅,50,1,0,11,11,0,1,1,2,1,9,3,120.3190457,23.3165185
2021/9/8,臺南市,新營區,永平里,住宅,50,0,0,5,5,0,0,0,0,0,0,0,120.3107562,23.3011789
2021/9/8,臺南市,新營區,新東里,住宅,50,0,0,7,7,0,0,0,0,0,0,0,120.324812,23.3152926
2021/9/11,臺南市,東山區,大客里,住宅,50,0,0,27,27,0,0,0,0,0,0,0,120.4213592,23.3121563
2021/9/6,臺南市,東山區,東山里,學校,50,0,0,0,0,0,0,0,0,0,0,0,120.4026318,23.3282152
2021/9/8,臺南市,東山區,東原里,學校,50,0,0,0,0,0,0,0,0,0,0,0,120.4530456,23.2866317
2021/9/7,臺南市,東山區,青山里,學校,50,0,0,0,0,0,0,0,0,0,0,0,120.4847242,23.2771856
